,Thermal_freq,Re,Im,,Thermal_freq,Re,Im
67,5857.020818,0.002566207,-0.002352622,,11714.04164,2.159263528,-1.619628257
68,7390.722034,0.00226961,-0.002117797,,14781.44407,1.927665041,-1.499544597
69,9326.033469,0.002009123,-0.001901507,,18652.06694,1.717832583,-1.3802252
70,11768.11952,0.001780112,-0.00170396,,23536.23905,1.529213674,-1.263746071
71,14849.68262,0.001578481,-0.001524653,,29699.36525,1.360683378,-1.151928509
72,18738.17423,0.001400677,-0.001362656,,37476.34846,1.210677368,-1.046179398
73,23644.89413,0.001243648,-0.001216805,,47289.78825,1.077384279,-0.947405072
74,29836.4724,0.001104777,-0.001085831,,59672.94481,0.958950435,-0.85602088
75,37649.35807,0.000981818,-0.000968448,,75298.71614,0.853643008,-0.772045914
76,47508.10162,0.000872838,-0.000863404,,95016.20324,0.75993543,-0.695240662
77,59948.42503,0.000776167,-0.00076951,,119896.8501,0.67651516,-0.625234261
78,75646.33276,0.000690354,-0.000685658,,151292.6655,0.602246589,-0.561606431
79,95454.84567,0.000614138,-0.000610824,,190909.6913,0.536128922,-0.503923102
80,120450.354,0.000546413,-0.000544075,,240900.7081,0.47726985,-0.451747527
81,151991.1083,0.000486211,-0.000484562,,303982.2166,0.424872799,-0.404646779
82,191791.0262,0.000432682,-0.000431518,,383582.0523,0.378228181,-0.362199397
83,242012.8265,0.000385073,-0.000384252,,484025.653,0.336704433,-0.324001896
84,305385.5509,0.000342722,-0.000342143,,610771.1018,0.299739366,-0.289672823
85,385352.8594,0.000305043,-0.000304635,,770705.7187,0.266832505,-0.258854942
86,486260.158,0.000271517,-0.000271228,,972520.316,0.237538321,-0.231216239
87,613590.7273,0.000241682,-0.000241478,,1227181.455,0.211460197,-0.206450055
88,774263.6827,0.00021513,-0.000214987,,1548527.365,0.188245057,-0.184274605
89,977009.9573,0.000191499,-0.000191398,,1954019.915,0.16757859,-0.164432075
90,1232846.739,0.000170466,-0.000170394,,2465693.479,0.149180989,-0.146687429
91,1555676.144,0.000151745,-0.000151694,,3111352.288,0.132803167,-0.130827063
92,1963040.65,0.000135081,-0.000135045,,3926081.3,0.118223382,-0.116657354
93,2477076.356,0.000120248,-0.000120222,,4954152.712,0.105244238,-0.104003188
94,3125715.85,0.000107044,-0.000107026,,6251431.699,0.093690009,-0.092706497
95,3944206.059,9.53E-05,-9.53E-05,,7888412.119,0.083404259,-0.082624843
96,4977023.564,8.48E-05,-8.48E-05,,9954047.129,0.07424773,-0.073630056
97,6280291.442,7.55E-05,-7.55E-05,,12560582.88,0.066096449,-0.065606953
98,7924828.984,6.72E-05,-6.72E-05,,15849657.97,0.058840056,-0.058452139
99,10000000,5.98E-05,-5.98E-05,,20000000,0.052380305,-0.052072888
